GUID,GEOGDESC,Population,PC_Yes,PC_No,PC_NS,Int_Broadband,Int_Other,Int_No,Int_NS,Households,Prop_PC,Prop_Broadband
2AE19629185813A3E055000000000001,Carlow Urban,4560,1165,700,140,1255,125,500,125,2005,58.10473815,62.59351621
2AE196291A5913A3E055000000000001,Graigue Urban,1405,314,230,65,355,26,160,68,609,51.55993432,58.29228243
2AE19629186413A3E055000000000001,Clonmore,526,111,67,6,78,35,66,5,184,60.32608696,42.39130435
2AE19629187F13A3E055000000000001,Hacketstown,1117,225,162,8,199,65,124,7,395,56.96202532,50.37974684
2AE19629188713A3E055000000000001,Haroldstown,296,61,37,2,53,14,31,2,100,61,53
2AE19629189713A3E055000000000001,Kineagh,343,82,35,3,75,15,27,3,120,68.33333333,62.5
2AE1962918B813A3E055000000000001,Rahill,729,179,72,2,186,21,44,2,253,70.75098814,73.51778656
2AE1962918C413A3E055000000000001,Rathvilly,875,186,123,2,218,9,81,3,311,59.80707395,70.09646302
2AE19629182213A3E055000000000001,Tiknock,332,74,37,0,64,16,30,1,111,66.66666667,57.65765766
2AE196291A5813A3E055000000000001,Williamstown,283,70,28,3,61,15,22,3,101,69.30693069,60.3960396
2AE19629183613A3E055000000000001,Agha,395,97,27,4,83,20,23,2,128,75.78125,64.84375
2AE19629183713A3E055000000000001,Ballinacarrig,1025,274,71,10,260,36,54,5,355,77.18309859,73.23943662
2AE19629184013A3E055000000000001,Ballintemple,562,129,62,6,127,18,48,4,197,65.4822335,64.46700508
2AE19629184113A3E055000000000001,Ballon,717,158,66,12,163,15,46,12,236,66.94915254,69.06779661
2AE19629184213A3E055000000000001,Ballyellin,425,94,52,2,99,10,36,3,148,63.51351351,66.89189189
2AE19629184313A3E055000000000001,Ballymoon,344,84,32,2,69,19,27,3,118,71.18644068,58.47457627
2AE19629184E13A3E055000000000001,Borris,1051,237,111,10,241,28,82,7,358,66.20111732,67.31843575
2AE19629184F13A3E055000000000001,Burton Hall,525,124,40,3,130,13,22,2,167,74.25149701,77.84431138
2AE19629185713A3E055000000000001,Carlow Rural,14546,3532,1479,189,3946,306,767,181,5200,67.92307692,75.88461538
2AE19629185913A3E055000000000001,Clogrenan,1038,212,122,11,212,40,85,8,345,61.44927536,61.44927536
2AE19629185A13A3E055000000000001,Clonegall,1001,231,111,10,233,31,83,5,352,65.625,66.19318182
2AE19629186613A3E055000000000001,Corries,537,118,63,3,111,26,45,2,184,64.13043478,60.32608696
2AE19629187213A3E055000000000001,Cranemore,1103,259,111,12,241,50,81,10,382,67.80104712,63.08900524
2AE19629187313A3E055000000000001,Fennagh,781,170,91,5,146,50,69,1,266,63.90977444,54.88721805
2AE19629187413A3E055000000000001,Garryhill,580,134,61,7,111,30,53,8,202,66.33663366,54.95049505
2AE19629187E13A3E055000000000001,Grangeford,465,122,58,2,116,28,37,1,182,67.03296703,63.73626374
2AE19629188813A3E055000000000001,Johnstown,589,147,49,3,138,16,42,3,199,73.86934673,69.34673367
2AE19629188913A3E055000000000001,Kellistown,974,236,100,4,203,59,74,4,340,69.41176471,59.70588235
2AE19629188A13A3E055000000000001,Kilbride,438,104,43,3,99,16,33,2,150,69.33333333,66
2AE19629189513A3E055000000000001,Killedmond,405,101,37,2,97,14,28,1,140,72.14285714,69.28571429
2AE19629189613A3E055000000000001,Killerrig,373,87,25,2,84,11,19,0,114,76.31578947,73.68421053
2AE1962918A113A3E055000000000001,Leighlinbridge,1641,392,207,7,421,44,138,3,606,64.68646865,69.47194719
2AE1962918AB13A3E055000000000001,Muinebeag (Bagenalstown) Rural,654,165,57,3,152,24,46,3,225,73.33333333,67.55555556
2AE1962918AC13A3E055000000000001,Muinebeag (Bagenalstown) Urban,2752,576,466,32,677,65,308,24,1074,53.63128492,63.03538175
2AE1962918AD13A3E055000000000001,Myshall,593,133,65,4,102,33,62,5,202,65.84158416,50.4950495
2AE1962918AE13A3E055000000000001,Nurney,855,195,76,11,184,32,59,7,282,69.14893617,65.24822695
2AE1962918B713A3E055000000000001,Oldleighlin,576,135,58,1,122,26,44,2,194,69.58762887,62.88659794
2AE1962918B913A3E055000000000001,Rathanna,122,32,18,0,25,10,14,1,50,64,50
2AE1962918C213A3E055000000000001,Rathornan,445,84,37,2,61,28,33,1,123,68.29268293,49.59349593
2AE1962918C313A3E055000000000001,Rathrush,1110,235,90,10,209,38,76,12,335,70.14925373,62.3880597
2AE19629181613A3E055000000000001,Ridge,292,53,33,1,47,19,19,2,87,60.91954023,54.02298851
2AE19629181713A3E055000000000001,Shangarry,513,113,50,6,99,25,38,7,169,66.86390533,58.57988166
2AE19629181813A3E055000000000001,Sliguff,506,126,47,3,127,12,32,5,176,71.59090909,72.15909091
2AE19629182013A3E055000000000001,Tankardstown,437,105,33,4,95,12,29,6,142,73.94366197,66.90140845
2AE19629182113A3E055000000000001,Templepeter,419,96,47,2,75,30,37,3,145,66.20689655,51.72413793
2AE196291A5713A3E055000000000001,Tullowbeg,622,143,49,4,133,20,39,4,196,72.95918367,67.85714286
2AE196291A5513A3E055000000000001,Tullow Rural,846,188,64,7,185,25,42,7,259,72.58687259,71.42857143
2AE196291A5613A3E055000000000001,Tullow Urban,3978,852,563,54,930,126,357,56,1469,57.99863853,63.30837304
2AE19629184D13A3E055000000000001,Ballymurphy,275,65,26,0,51,17,23,0,91,71.42857143,56.04395604
2AE19629186513A3E055000000000001,Coonogue,208,43,29,2,34,9,29,2,74,58.10810811,45.94594595
2AE19629187D13A3E055000000000001,Glynn,379,76,46,5,71,16,34,6,127,59.84251969,55.90551181
2AE1962918A013A3E055000000000001,Kyle,320,74,38,0,65,14,33,0,112,66.07142857,58.03571429
2AE1962918A213A3E055000000000001,Marley,401,84,42,1,72,20,35,0,127,66.14173228,56.69291339
2AE19629182313A3E055000000000001,Tinnahinch,648,160,86,2,149,30,66,3,248,64.51612903,60.08064516
2AE196291CEB13A3E055000000000001,Arran Quay A,1785,430,184,99,448,57,113,95,713,60.3085554,62.83309958
2AE196291CEC13A3E055000000000001,Arran Quay B,4166,1142,411,133,1229,97,235,125,1686,67.73428233,72.89442467
2AE196291CED13A3E055000000000001,Arran Quay C,4471,1202,419,123,1318,151,170,105,1744,68.92201835,75.5733945
2AE196291CEE13A3E055000000000001,Arran Quay D,3109,733,393,83,834,62,235,78,1209,60.62861869,68.98263027
2AE196291CEF13A3E055000000000001,Arran Quay E,3293,1036,479,85,1130,80,313,77,1600,64.75,70.625
2AE196291CF013A3E055000000000001,Ashtown A,10566,3004,853,126,3263,188,423,109,3983,75.42053728,81.92317349
2AE196291D0313A3E055000000000001,Ashtown B,2643,775,241,27,823,38,156,26,1043,74.30488974,78.90699904
2AE196291D0413A3E055000000000001,Ayrfield,5639,1414,543,77,1664,66,241,63,2034,69.51819076,81.80924287
2AE196291D0513A3E055000000000001,Ballybough A,3718,764,647,136,936,70,403,138,1547,49.38590821,60.50420168
2AE196291D0613A3E055000000000001,Ballybough B,3698,819,434,210,889,86,267,221,1463,55.98086124,60.76555024
2AE196291D0813A3E055000000000001,Ballygall A,3606,820,390,62,988,52,186,46,1272,64.46540881,77.67295597
2AE196291D0913A3E055000000000001,Ballygall B,1887,417,240,40,479,18,164,36,697,59.82783357,68.723099
2AE196291D0713A3E055000000000001,Ballygall C,3521,929,318,50,1018,32,206,41,1297,71.62683115,78.48882035
2AE196291D0A13A3E055000000000001,Ballygall D,2531,613,294,41,729,20,167,32,948,64.66244726,76.89873418
2AE196291D0B13A3E055000000000001,Ballymun A,4765,934,531,164,1191,53,235,150,1629,57.33578883,73.11233886
2AE196291D0C13A3E055000000000001,Ballymun B,4379,671,595,116,889,60,331,102,1382,48.552822,64.32706223
2AE196291D0D13A3E055000000000001,Ballymun C,6112,1126,856,157,1477,70,433,159,2139,52.64142122,69.05095839
2AE196291D0E13A3E055000000000001,Ballymun D,2458,429,410,86,566,39,243,77,925,46.37837838,61.18918919
2AE196291D0F13A3E055000000000001,Ballymun E,1562,445,129,17,471,9,92,19,591,75.29610829,79.69543147
2AE196291D1013A3E055000000000001,Ballymun F,2350,642,222,35,703,17,150,29,899,71.41268076,78.19799778
2AE196291D1113A3E055000000000001,Beaumont A,2463,670,303,30,759,10,213,21,1003,66.7996012,75.67298106
2AE196291D1213A3E055000000000001,Beaumont B,4962,1160,330,52,1292,46,163,41,1542,75.22697795,83.78728923
2AE196291D2113A3E055000000000001,Beaumont C,3242,846,359,113,917,45,254,102,1318,64.18816388,69.57511381
